Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
300	-15811.1	-15823.9	12.7839	0.123139	0.0884644	0.11701	0.0905743	0.103755	0.106668	0.137675	0.0754323	0.0737983	0.18667	0.0926926	0.0849356	0.108572	0.0948842	0.121951	0.107273	0.136041	0.107367	0.11184	0.0693619	0.0819758	0.0977049	0.164976	0.022913	0.0259901	0.0214039	0.050747	0.0581868	0.0267673	0.00721386	0.0588702	0.0389219	0.0241202	0.0501377	0.0399301	0.110764	0.00880803	0.0419963	0.0270776	0.0279341	0.0366544	0.0190729	0.0302496	3.210521
310	-15816.5	-15829	12.5344	0.111606	0.0896775	0.120763	0.0826763	0.109248	0.0738273	0.14824	0.086282	0.0766973	0.144404	0.0748598	0.0824415	0.0988203	0.0932957	0.106757	0.146516	0.123325	0.0898769	0.126507	0.0748163	0.0919705	0.0933518	0.173166	0.0344613	0.0356428	0.0246378	0.0374399	0.0522274	0.0469128	0.022856	0.0600493	0.0445874	0.0161972	0.0484037	0.0320369	0.11363	0.0311958	0.0364016	0.0220174	0.0419058	0.0489178	0.0359745	0.0308475	3.235469
320	-15800.6	-15813.1	12.5755	0.128945	0.0771089	0.0918656	0.103397	0.0970337	0.0887771	0.129815	0.0774662	0.101679	0.150819	0.0786741	0.0892198	0.101432	0.0884973	0.106044	0.11405	0.121192	0.138088	0.130964	0.0860579	0.0969481	0.0787949	0.173166	0.0285481	0.0346908	0.0348238	0.0457744	0.0425437	0.0158562	0.0226946	0.0520488	0.0545585	0.0432119	0.0463731	0.0361946	0.0950287	0.0208697	0.0358737	0.033362	0.0358914	0.0380955	0.0331894	0.0316915	3.231354
330	-15805.7	-15817.9	12.1117	0.141146	0.0958899	0.118427	0.119733	0.129513	0.0894407	0.105065	0.0918508	0.107555	0.156311	0.0845257	0.0682337	0.103196	0.100994	0.121689	0.128383	0.137156	0.131155	0.099228	0.0797409	0.0854242	0.082268	0.173166	0.0193109	0.0296866	0.0365114	0.0547446	0.0464983	0.0255623	0.0107933	0.0472963	0.0473077	0.0216277	0.0485808	0.0283921	0.0876418	0.029217	0.028812	0.0277483	0.0284611	0.0477	0.0222641	0.0394915	3.277738
340	-15803.2	-15815.6	12.4217	0.124089	0.101342	0.0868324	0.0903914	0.129513	0.0883981	0.132251	0.0770767	0.101264	0.189093	0.0841304	0.110221	0.0905323	0.101923	0.134858	0.129864	0.112228	0.112366	0.111618	0.075529	0.104638	0.0839282	0.144196	0.0260169	0.0349577	0.0275313	0.0427994	0.0343014	0.0321695	0.0191271	0.0450292	0.0424152	0.0274172	0.0561138	0.0360749	0.0958248	0.0106155	0.0375059	0.0271244	0.0328105	0.0373739	0.0297613	0.0354776	3.246733
350	-15816.3	-15829.1	12.8055	0.125847	0.101249	0.0945449	0.0903914	0.0969824	0.0994392	0.113548	0.0774193	0.0954093	0.167751	0.0961614	0.0852625	0.113224	0.0868549	0.104587	0.126371	0.132737	0.117563	0.131903	0.0640386	0.0985703	0.0781164	0.185324	0.0190992	0.0239141	0.0163242	0.0446333	0.0481795	0.0286333	0.0382678	0.0569627	0.0389936	0.0398423	0.0549884	0.0316092	0.0695927	0.00368514	0.0253412	0.0332907	0.0494287	0.0385302	0.0463059	0.0174414	3.208357
360	-15805.2	-15818.3	13.0688	0.133814	0.0883949	0.107818	0.0787422	0.101263	0.0896942	0.132608	0.0946804	0.0835769	0.161748	0.10387	0.069144	0.112752	0.103896	0.103321	0.124514	0.110572	0.116021	0.123093	0.0829907	0.084789	0.0868858	0.175581	0.0284666	0.0289871	0.0284629	0.0499305	0.0373302	0.0339326	0.0192286	0.0487669	0.0396474	0.0177097	0.0570281	0.030327	0.104511	0.00460508	0.0347527	0.0137339	0.0327012	0.0468386	0.0252221	0.0300776	3.182028
370	-15808.6	-15820.5	11.8315	0.118494	0.0881163	0.0913964	0.0933335	0.110385	0.067339	0.132608	0.0777921	0.0822291	0.175796	0.0902788	0.0929655	0.108489	0.108128	0.11738	0.149916	0.141295	0.134316	0.126841	0.0812907	0.102279	0.0833411	0.169976	0.0415819	0.0360224	0.0262608	0.0511039	0.0436605	0.0209163	0.0188645	0.0565183	0.0619049	0.0293323	0.0574221	0.0200202	0.0769685	0.00883375	0.0465953	0.0172444	0.0319011	0.0368112	0.0472682	0.0325448	3.305761
380	-15808.7	-15821.7	13.0085	0.141563	0.0979537	0.103868	0.0923624	0.120288	0.101291	0.110365	0.0653044	0.0790497	0.159962	0.0802356	0.0755197	0.113181	0.0825569	0.0871344	0.14838	0.128412	0.106555	0.136815	0.0698389	0.0934161	0.0704754	0.172176	0.0263769	0.0252924	0.0185315	0.0411936	0.0446081	0.0140708	0.01746	0.0549574	0.0631554	0.0311953	0.0759477	0.0297564	0.0803402	0.0243071	0.0339741	0.0236042	0.0345955	0.0565504	0.0248843	0.0305532	3.188057
390	-15819.6	-15832.8	13.1321	0.117511	0.11343	0.101983	0.0943093	0.101976	0.0758057	0.153474	0.0913286	0.0879448	0.145821	0.0603666	0.105258	0.0888583	0.0910387	0.107033	0.112133	0.115581	0.118311	0.120561	0.0480663	0.082637	0.0905115	0.157686	0.0267043	0.0318774	0.0197057	0.0605568	0.0537933	0.0131173	0.0104314	0.0472719	0.0524521	0.0337593	0.0716549	0.0256142	0.0913509	0.0155218	0.0403433	0.0178017	0.0471149	0.0609778	0.0325026	0.0415189	3.175695
