Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
20	0	-15812.4	-15825.4	12.9431	0.13841	0.106497	0.115721	0.0807568	0.106402	0.096027	0.131395	0.0638665	0.0982731	0.168248	0.0745614	0.0809761	0.101213	0.0926817	0.1238	0.114652	0.132606	0.11708	0.110012	0.0822038	0.0800417	0.0532554	0.152608	0.0255379	0.0395537	0.0355013	0.06274	0.046505	0.0374053	0.0176953	0.0455618	0.0362137	0.0228753	0.0729349	0.0268471	0.0654669	0.0436767	0.0345542	0.0211899	0.0444364	0.0452185	0.0236951	0.0256982	3.194593
21	1	-15801.3	-15814.1	12.8318	0.139767	0.104983	0.0876476	0.106123	0.123237	0.0744458	0.118441	0.0771962	0.12263	0.194932	0.0808629	0.0778772	0.106558	0.0921514	0.11195	0.112185	0.136493	0.103324	0.118783	0.0932405	0.0954437	0.082101	0.145819	0.0335418	0.0255946	0.0561662	0.0197995	0.0298632	0.0243502	0.0311278	0.0252938	0.0756038	0.0273049	0.0291905	0.0350635	0.0544404	0.0201813	0.0374286	0.0551127	0.0232049	0.0423835	0.0380381	0.0158467	3.205729
22	0	-15806.1	-15819.7	13.6198	0.135624	0.0992712	0.0776734	0.0883106	0.112198	0.0782087	0.106429	0.0929163	0.101584	0.178115	0.0721374	0.0793922	0.116816	0.0839339	0.111944	0.0985235	0.131332	0.121234	0.116855	0.0675681	0.0968359	0.0798285	0.166494	0.0177333	0.0213115	0.0229174	0.0510161	0.0256823	0.0267905	0.0227533	0.0560912	0.0333312	0.0246268	0.0589883	0.0329444	0.0842995	0.0196488	0.0402049	0.0228773	0.0493649	0.0340244	0.0258303	0.0432688	3.126929
23	1	-15811.8	-15825.3	13.4849	0.129699	0.0990135	0.0895762	0.104857	0.117447	0.0678693	0.112246	0.0937184	0.0874685	0.20935	0.0771744	0.0604033	0.109313	0.0921514	0.0961465	0.114857	0.106739	0.0930501	0.128646	0.0700406	0.0973055	0.0821107	0.146832	0.039222	0.0289991	0.059712	0.0346956	0.01968	0.02758	0.0436625	0.0278337	0.0735573	0.0267566	0.0482648	0.0283798	0.0566925	0.0114561	0.0482398	0.067921	0.0290521	0.0426722	0.0263032	0.013719	3.140414
24	0	-15808	-15820.9	12.9403	0.134722	0.104342	0.0920962	0.0888693	0.134077	0.0834371	0.136091	0.0767519	0.103367	0.150778	0.077667	0.0824103	0.088761	0.0756738	0.114373	0.109297	0.136133	0.111899	0.0999019	0.0776092	0.0979775	0.0741017	0.17854	0.0315137	0.019822	0.0244953	0.0553538	0.0438142	0.00902661	0.0351639	0.0483873	0.0455362	0.032312	0.0405148	0.0181889	0.102918	0.0328778	0.0420866	0.0276471	0.0369607	0.052173	0.0324554	0.0347562	3.194878
25	1	-15815.5	-15828.7	13.1924	0.135618	0.102179	0.0742758	0.107483	0.110886	0.0765503	0.13147	0.075435	0.119296	0.149856	0.0923631	0.0751287	0.0790236	0.0860163	0.106847	0.143532	0.104326	0.105412	0.147955	0.0571853	0.0848188	0.0697552	0.161653	0.0252324	0.0262081	0.0380603	0.0371703	0.0243836	0.0242662	0.0260269	0.0419176	0.080015	0.0289882	0.0382587	0.0364326	0.0695717	0.0224355	0.0749345	0.0452346	0.0403749	0.0517416	0.0330484	0.00830287	3.16967
26	0	-15808.3	-15821.6	13.2512	0.119609	0.100998	0.107064	0.113729	0.112564	0.0860366	0.136091	0.076077	0.107031	0.152588	0.0826308	0.0924641	0.08292	0.101183	0.131594	0.109082	0.137944	0.100378	0.0921339	0.0811492	0.0784291	0.091899	0.15308	0.0245534	0.0132448	0.0260776	0.0466011	0.0358555	0.0119515	0.0299687	0.0503031	0.042367	0.041321	0.0570283	0.0367262	0.0813785	0.0305273	0.029618	0.0267513	0.0339032	0.0285976	0.0285723	0.0417674	3.163788
27	1	-15812.1	-15824.1	12.0028	0.122866	0.108219	0.0811103	0.116937	0.116532	0.0842067	0.114839	0.0788114	0.1045	0.172295	0.0832397	0.094163	0.0864761	0.0970789	0.106847	0.0980819	0.123658	0.104679	0.119419	0.070902	0.120803	0.0868377	0.198484	0.0230285	0.032267	0.0422247	0.017688	0.0308167	0.0170016	0.0475077	0.0288981	0.0794204	0.0329926	0.0386102	0.0424674	0.0661885	0.0308687	0.0421651	0.0656179	0.0597	0.06028	0.0257504	0.0141506	3.28863
28	0	-15817.3	-15830.8	13.4256	0.154548	0.0796158	0.103952	0.0903567	0.119593	0.0843102	0.105226	0.0837643	0.0895302	0.14515	0.0823932	0.0595926	0.0785081	0.101183	0.0952403	0.10997	0.146049	0.121199	0.111786	0.0777582	0.0940911	0.0745349	0.142075	0.0279536	0.025292	0.0360787	0.0449452	0.0242791	0.0319201	0.019531	0.0755823	0.0518834	0.0365527	0.0806762	0.0298743	0.0887798	0.0397285	0.0399139	0.0191759	0.0285397	0.0505986	0.0260649	0.0185544	3.146352
29	1	-15806.6	-15820.6	14.0213	0.12265	0.0871997	0.0951903	0.0905429	0.128836	0.0756082	0.144038	0.0927693	0.0884101	0.166634	0.0698182	0.0790981	0.0778604	0.0834361	0.1102	0.110599	0.122834	0.104679	0.116496	0.0763641	0.0891427	0.074125	0.150912	0.0434285	0.0289573	0.0344338	0.0175951	0.0303944	0.0126967	0.0226576	0.0307151	0.0877668	0.0430905	0.0285902	0.0291399	0.0604912	0.0272519	0.0400788	0.0619871	0.046488	0.0372562	0.028004	0.0183133	3.086781
