Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
102	0	-853.788	-641.16	-212.627	755732.5	0.01810997	0.998538	0.999626	1.00037	1.00146	1571.754
103	1	-438.94	-428.473	-10.4671	773457.9	11.10733	0.998555	0.99963	1.00037	1.00145	3.23299
104	0	-867.681	-641.161	-226.52	971026.7	0.01712186	0.99871	0.99967	1.00033	1.00129	2365.731
105	1	-424.433	-417.976	-6.45667	992271.3	12.30761	0.998724	0.999674	1.00033	1.00128	2.847476
106	0	-873.761	-641.161	-232.6	807378.5	0.01181308	0.998586	0.999638	1.00036	1.00141	2906.848
107	1	-430.824	-419.129	-11.6948	789590.6	11.30466	0.99857	0.999634	1.00037	1.00143	3.333074
108	0	-872.211	-641.161	-231.05	641740.9	0.01355462	0.998414	0.999594	1.0004	1.00159	2753.807
109	1	-425.931	-415.096	-10.835	733675.4	8.856145	0.998516	0.999621	1.00038	1.00148	3.303218
110	0	-870.316	-641.161	-229.155	48677.64	0.01369573	0.994245	0.998523	1.00147	1.00577	2612.034
111	1	-433.3	-422.858	-10.4419	956418.6	10.1558	0.998701	0.999668	1.00033	1.0013	3.261141
112	0	-865.589	-641.161	-224.428	628997.3	0.01477056	0.998398	0.99959	1.00041	1.0016	2270.684
113	1	-440.722	-424.897	-15.825	275132	8.046288	0.997578	0.99938	1.00062	1.00242	3.882662
114	0	-862.028	-641.161	-220.866	523997.3	0.01730756	0.998245	0.999551	1.00045	1.00176	2034.262
115	1	-437.038	-420.151	-16.8872	731561.9	5.46208	0.998514	0.99962	1.00038	1.00149	3.668282
116	0	-855.03	-641.161	-213.869	312710.9	0.0230953	0.997728	0.999419	1.00058	1.00227	1633.643
117	1	-428.098	-415.837	-12.2609	580758.3	5.965824	0.998333	0.999573	1.00043	1.00167	3.054167
118	0	-867.492	-641.161	-226.331	985606.8	0.01231449	0.99872	0.999673	1.00033	1.00128	2390.793
119	1	-434.792	-423.193	-11.5988	973799.4	9.197391	0.998712	0.999671	1.00033	1.00129	3.391934
120	0	-858.304	-641.161	-217.143	161425.9	0.02204765	0.996838	0.99919	1.00081	1.00317	1790.293
121	1	-430.19	-415.672	-14.5177	687505.7	8.48469	0.998467	0.999608	1.00039	1.00153	3.723969
122	0	-839.751	-641.161	-198.59	883537.8	0.02791936	0.998648	0.999654	1.00035	1.00135	1028.285
123	1	-439.478	-425.961	-13.5167	795604.4	10.66677	0.998575	0.999636	1.00036	1.00143	3.535467
124	0	-821.666	-641.161	-180.504	91419.69	0.05908721	0.995799	0.998923	1.00107	1.00421	598.3954
125	1	-443.68	-427.027	-16.653	819431.3	6.648258	0.998596	0.999641	1.00036	1.0014	3.918377
126	0	-821.473	-641.161	-180.312	922472	0.07247728	0.998677	0.999662	1.00034	1.00132	578.1544
127	1	-428.703	-412.786	-15.9166	667576.8	9.043697	0.998445	0.999602	1.0004	1.00156	3.868929
128	0	-811.434	-631.212	-180.222	429004.3	0.06759746	0.99806	0.999504	1.0005	1.00194	584.5417
129	1	-426.985	-412.452	-14.533	732564.4	7.054694	0.998515	0.99962	1.00038	1.00149	3.658165
130	0	-787.327	-630.575	-156.752	376400.2	0.1094679	0.997929	0.99947	1.00053	1.00207	291.8012
131	1	-430.738	-419.989	-10.7492	236718.1	9.527768	0.997389	0.999331	1.00067	1.00261	3.300447
132	0	-797.834	-627.052	-170.782	72548.93	0.08326859	0.995285	0.998791	1.0012	1.00472	443.7529
133	1	-432.91	-416.339	-16.5707	3562.183	7.864018	0.978784	0.99448	1.00536	1.02138	3.975963
134	0	-751.732	-620.449	-131.283	753408.4	0.2980243	0.998536	0.999626	1.00037	1.00146	132.4974
135	1	-438.537	-421.747	-16.7905	130285.5	6.640567	0.996481	0.999098	1.0009	1.00352	3.9381
136	0	-657.192	-584.593	-72.5997	162220.8	1.742415	0.996846	0.999192	1.0008	1.00316	22.26132
137	1	-436.585	-422.74	-13.8452	750015.4	7.828255	0.998533	0.999625	1.00037	1.00147	3.627657
138	0	-487.343	-453.148	-34.1949	581472.1	4.546965	0.998334	0.999574	1.00043	1.00167	6.92242
139	1	-439.116	-421.494	-17.6224	683635.9	8.752507	0.998463	0.999607	1.00039	1.00154	4.075792
140	0	-464.404	-436.021	-28.3833	810916.6	4.840439	0.998589	0.999639	1.00036	1.00141	5.716355
141	1	-443.896	-420.962	-22.9342	819903.4	5.734873	0.998597	0.999641	1.00036	1.0014	4.819153
142	0	-440.288	-420.591	-19.6969	127208.3	7.913581	0.996438	0.999087	1.00091	1.00357	4.371051
143	1	-428.715	-414.162	-14.553	56915.81	9.309109	0.994677	0.998634	1.00136	1.00533	3.708976
144	0	-439.076	-427.065	-12.0116	398781.2	9.346907	0.997988	0.999485	1.00051	1.00201	3.435579
145	1	-434.592	-418.087	-16.5053	262232.6	8.67775	0.997519	0.999365	1.00063	1.00248	3.951274
146	0	-432.266	-419.964	-12.3026	67310.13	10.49049	0.995105	0.998744	1.00125	1.0049	3.430088
147	1	-435.249	-420.23	-15.0187	583700.8	9.535372	0.998337	0.999575	1.00042	1.00166	3.748166
148	0	-439.96	-422.376	-17.5835	397317.2	7.973597	0.997984	0.999484	1.00051	1.00202	4.102855
149	1	-435.907	-421.727	-14.1805	771903.6	8.795678	0.998554	0.99963	1.00037	1.00145	3.681955
150	0	-431.781	-418.855	-12.9263	136405.3	9.431796	0.99656	0.999119	1.00088	1.00344	3.531469
151	1	-439.219	-427.333	-11.886	756563.8	11.39556	0.998539	0.999626	1.00037	1.00146	3.344861
152	0	-433.704	-419.831	-13.8729	243589.4	10.44964	0.997426	0.999341	1.00066	1.00258	3.582228
153	1	-432.583	-421.284	-11.2989	798159.3	8.377961	0.998578	0.999636	1.00036	1.00142	3.339901
154	0	-437.729	-425.572	-12.1575	679364.9	9.433583	0.998458	0.999606	1.00039	1.00154	3.449933
155	1	-445.351	-426.267	-19.084	860122.1	9.519889	0.99863	0.99965	1.00035	1.00137	4.175987
156	0	-433.535	-420.476	-13.0587	234541.2	14.64481	0.997377	0.999328	1.00067	1.00263	3.203718
157	1	-436.592	-423.242	-13.3495	98809.2	8.06792	0.995959	0.998964	1.00103	1.00405	3.575866
158	0	-428.738	-415.169	-13.5693	1404.056	6.808533	0.966284	0.991133	1.00846	1.03412	3.483963
159	1	-433.442	-415.953	-17.489	949037.2	9.247406	0.998696	0.999666	1.00033	1.00131	4.028817
160	0	-440.868	-417.594	-23.2741	419545.7	9.725323	0.998038	0.999498	1.0005	1.00196	4.586846
161	1	-440.391	-421.3	-19.0911	352645	6.274159	0.99786	0.999452	1.00055	1.00214	4.247911
162	0	-441.77	-427.958	-13.812	93250.68	8.572582	0.995841	0.998934	1.00106	1.00417	3.641093
163	1	-439.771	-423.468	-16.3031	685208	6.847484	0.998465	0.999607	1.00039	1.00154	3.88975
164	0	-431.746	-420.581	-11.1642	9662.546	9.330843	0.987099	0.996668	1.00327	1.01296	3.34494
165	1	-433.355	-419.454	-13.901	288278.1	7.469176	0.997634	0.999394	1.0006	1.00237	3.611697
166	0	-442.946	-428.175	-14.7713	600245.4	7.968291	0.99836	0.99958	1.00042	1.00164	3.750049
167	1	-440.261	-421.732	-18.5288	333375.2	11.151	0.997799	0.999437	1.00056	1.0022	3.954114
168	0	-441.34	-424.778	-16.5618	385102.8	7.422938	0.997952	0.999476	1.00052	1.00205	3.966282
169	1	-430.149	-418.075	-12.0746	621459	10.4046	0.998388	0.999588	1.00041	1.00161	3.412065
170	0	-442.312	-426.318	-15.9946	626949.5	6.532085	0.998395	0.99959	1.00041	1.00161	3.801762
171	1	-442.507	-426.968	-15.539	936307.3	7.406324	0.998687	0.999664	1.00034	1.00131	3.827543
172	0	-437.996	-420.249	-17.747	958564.4	7.046141	0.998702	0.999668	1.00033	1.0013	4.113299
173	1	-444.1	-425.653	-18.447	401344.4	7.364336	0.997994	0.999487	1.00051	1.00201	4.219904
174	0	-429.039	-414.589	-14.4502	81835.64	8.863956	0.99556	0.998862	1.00113	1.00445	3.711266
175	1	-432.322	-421.932	-10.3902	71767.14	10.32441	0.995259	0.998784	1.00121	1.00475	3.252244
176	0	-426.401	-414.978	-11.4231	561702.6	8.707516	0.998304	0.999566	1.00043	1.0017	3.366406
177	1	-433.441	-417.229	-16.2114	534456	6.694891	0.998262	0.999555	1.00044	1.00174	3.858182
178	0	-429.438	-411.867	-17.5712	513036.7	6.058355	0.998226	0.999546	1.00045	1.00178	3.964819
179	1	-433.463	-415.378	-18.085	40064.04	6.824515	0.993657	0.998371	1.00161	1.00636	4.148372
180	0	-430.017	-413.235	-16.782	798496.4	9.800929	0.998578	0.999636	1.00036	1.00142	3.913598
181	1	-452.059	-428.609	-23.4499	448804.2	13.52562	0.998103	0.999515	1.00048	1.0019	4.059661
182	0	-427.744	-412.9	-14.8436	373738.4	8.857146	0.997922	0.999468	1.00053	1.00208	3.755825
183	1	-440.34	-427.263	-13.0771	626134.4	6.745531	0.998394	0.999589	1.00041	1.00161	3.399925
184	0	-427.272	-420.328	-6.94365	82614.79	11.66105	0.995581	0.998867	1.00113	1.00443	2.905495
185	1	-440.984	-423.079	-17.905	731748.8	7.271028	0.998514	0.99962	1.00038	1.00149	4.144214
186	0	-431.546	-420.99	-10.5562	981656.9	11.6717	0.998717	0.999672	1.00033	1.00128	3.214759
187	1	-438.13	-423.866	-14.2633	711439.6	8.874553	0.998493	0.999615	1.00038	1.00151	3.68998
188	0	-433.582	-416.458	-17.1235	241303.2	7.413939	0.997414	0.999338	1.00066	1.00259	4.041704
189	1	-443.622	-426.867	-16.7551	840555.8	7.73509	0.998614	0.999646	1.00035	1.00139	3.998873
190	0	-430.296	-414.209	-16.0863	772360.3	11.03964	0.998554	0.99963	1.00037	1.00145	3.744767
191	1	-427.753	-414.341	-13.4119	172491.3	7.771765	0.996941	0.999217	1.00078	1.00306	3.56898
192	0	-425.012	-414.976	-10.0363	855131.7	12.59008	0.998626	0.999649	1.00035	1.00137	3.122903
193	1	-429.522	-418.104	-11.4179	832803.8	10.82589	0.998607	0.999644	1.00036	1.00139	3.331832
194	0	-435.026	-425.561	-9.46521	627041.1	12.90297	0.998395	0.99959	1.00041	1.00161	3.060846
195	1	-433.655	-419.733	-13.9216	295153.1	6.970947	0.997661	0.999401	1.0006	1.00234	3.560273
196	0	-446.668	-428.571	-18.0967	911781.1	9.467507	0.998669	0.99966	1.00034	1.00133	4.076684
197	1	-428.847	-413.596	-15.2506	116611.3	10.16057	0.99628	0.999047	1.00095	1.00372	3.734314
198	0	-432.517	-418.888	-13.6286	718803.3	9.056489	0.998501	0.999617	1.00038	1.0015	3.615688
199	1	-427.003	-418.161	-8.84228	525106.9	10.39024	0.998246	0.999551	1.00045	1.00175	3.101577
200	0	-435.553	-420	-15.5526	927558.1	7.944127	0.99868	0.999663	1.00034	1.00132	3.847796
201	1	-443.146	-428.615	-14.5311	905992.7	9.595086	0.998665	0.999659	1.00034	1.00134	3.694256
202	0	-433.297	-416.385	-16.9124	975582.8	8.722463	0.998713	0.999671	1.00033	1.00129	3.996108
203	1	-441.91	-430.159	-11.7512	280152.9	8.999288	0.9976	0.999386	1.00061	1.0024	3.408097
204	0	-439.736	-420.323	-19.4138	648511	6.509457	0.998422	0.999596	1.0004	1.00158	4.323346
205	1	-437.957	-415.473	-22.4839	446818	5.735643	0.998099	0.999514	1.00049	1.0019	4.740728
206	0	-453.198	-436.583	-16.6144	845654.2	6.408028	0.998618	0.999647	1.00035	1.00138	3.87722
207	1	-436.509	-417.916	-18.5928	567774.3	6.422012	0.998314	0.999569	1.00043	1.00169	4.187609
208	0	-437.079	-425.462	-11.617	755900	9.303958	0.998538	0.999626	1.00037	1.00146	3.39361
209	1	-427.671	-418.196	-9.47516	839259	10.92751	0.998613	0.999645	1.00035	1.00139	3.149419
210	0	-438.215	-422.25	-15.9658	870914	10.32125	0.998638	0.999652	1.00035	1.00136	3.792523
211	1	-434.897	-421.33	-13.5662	853319.3	11.39629	0.998624	0.999648	1.00035	1.00138	3.492256
212	0	-433.142	-418.534	-14.6078	433925.7	8.461093	0.998071	0.999506	1.00049	1.00193	3.734702
213	1	-426.604	-418.957	-7.64628	224311.1	13.30673	0.997317	0.999313	1.00068	1.00269	2.901624
214	0	-437.404	-422.655	-14.7484	28740.93	10.43863	0.992512	0.998075	1.00191	1.00751	3.666759
215	1	-442.826	-423.81	-19.016	875944.2	8.307422	0.998642	0.999653	1.00035	1.00136	4.265309
216	0	-437.36	-416.108	-21.2522	522608.1	5.41905	0.998242	0.99955	1.00045	1.00176	4.456335
217	1	-427.542	-416.101	-11.4416	16255.73	10.8363	0.990048	0.997436	1.00253	1.00999	3.333552
218	0	-440.121	-424.532	-15.589	193443.1	6.292548	0.997111	0.99926	1.00074	1.00289	3.693706
219	1	-438.167	-427.464	-10.7036	828677.4	9.267619	0.998604	0.999643	1.00036	1.0014	3.295208
220	0	-430.32	-416.379	-13.9413	673426.9	7.295282	0.998451	0.999604	1.0004	1.00155	3.601514
221	1	-448.285	-431.657	-16.6272	98759.87	8.907455	0.995958	0.998964	1.00103	1.00405	3.954699
222	0	-440.031	-420.715	-19.3159	354305.5	8.594568	0.997865	0.999454	1.00054	1.00214	4.281499
223	1	-442.031	-428.142	-13.8897	448400.1	8.803205	0.998102	0.999515	1.00048	1.0019	3.648805
224	0	-438.759	-425.539	-13.22	880797.5	8.993255	0.998646	0.999654	1.00035	1.00135	3.571374
225	1	-432.007	-420.552	-11.4555	141016.8	10.22799	0.996617	0.999133	1.00086	1.00339	3.358671
226	0	-430.568	-418.162	-12.4061	424695.8	9.555946	0.99805	0.999501	1.0005	1.00195	3.473717
227	1	-435.816	-423.603	-12.2132	850897	9.587335	0.998622	0.999648	1.00035	1.00138	3.452851
228	0	-437.162	-418.707	-18.4557	270684.4	5.903486	0.997558	0.999375	1.00062	1.00244	4.079149
229	1	-441.275	-426.684	-14.591	359555.9	7.3431	0.997881	0.999458	1.00054	1.00212	3.694602
230	0	-427.132	-412.729	-14.4029	113190.6	9.045706	0.996224	0.999032	1.00096	1.00378	3.701494
231	1	-431.417	-418.776	-12.6416	316657.3	8.127711	0.997742	0.999422	1.00058	1.00226	3.490972
232	0	-433.188	-422.839	-10.3491	493667.4	8.621375	0.998191	0.999537	1.00046	1.00181	3.23941
233	1	-427.135	-413.551	-13.5841	494325.9	8.969564	0.998193	0.999538	1.00046	1.00181	3.61223
234	0	-440.55	-426.233	-14.317	557645.1	8.863794	0.998298	0.999565	1.00043	1.0017	3.696236
235	1	-435.251	-424.765	-10.4868	573604.3	11.49332	0.998322	0.999571	1.00043	1.00168	3.217493
236	0	-440.225	-421.918	-18.3061	952035.3	6.611818	0.998698	0.999667	1.00033	1.0013	4.163661
237	1	-430.147	-417.996	-12.1512	424397.9	8.281417	0.99805	0.999501	1.0005	1.00195	3.437894
238	0	-433.181	-415.424	-17.7563	9772.976	6.942292	0.987172	0.996687	1.00325	1.01289	4.108578
239	1	-435.044	-426.024	-9.01997	149766.9	9.945858	0.996717	0.999159	1.00084	1.00329	3.121927
240	0	-430.092	-417.336	-12.7563	56289.51	8.153395	0.994648	0.998627	1.00136	1.00536	3.506176
241	1	-423.556	-414.623	-8.93272	442979	8.101224	0.998091	0.999512	1.00049	1.00191	3.031921
242	0	-427.14	-410.975	-16.165	722509.9	7.592951	0.998505	0.999618	1.00038	1.0015	3.919161
243	1	-426.483	-415.738	-10.7449	767556.3	7.811276	0.99855	0.999629	1.00037	1.00145	3.229902
244	0	-431.137	-421.568	-9.56938	713876.9	8.300722	0.998496	0.999615	1.00038	1.0015	3.12766
