Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1370	-430.514	-421.153	-9.36054	5593.489	9.701401	0.983056	0.995608	1.00429	1.01705	3.156087
1380	-430.783	-419.062	-11.7208	183858.9	9.363442	0.997037	0.999241	1.00076	1.00297	3.404334
1390	-445.85	-429.373	-16.4773	172127.5	11.4968	0.996938	0.999216	1.00078	1.00307	3.738386
1400	-424.509	-415.913	-8.59553	520984.5	11.04669	0.99824	0.99955	1.00045	1.00176	3.066059
1410	-431.276	-416.28	-14.9962	446057.2	9.188847	0.998097	0.999513	1.00049	1.0019	3.761668
1420	-433.401	-417.82	-15.5806	525083.2	7.993333	0.998246	0.999551	1.00045	1.00175	3.851868
1430	-432.807	-418.49	-14.317	352721.7	9.381159	0.997861	0.999453	1.00055	1.00214	3.680921
1440	-437.834	-420.211	-17.6227	262786.8	8.257013	0.997521	0.999366	1.00063	1.00248	4.09951
1450	-444.954	-428.594	-16.3606	679475	10.64711	0.998458	0.999606	1.00039	1.00154	3.803758
1460	-429.824	-421.935	-7.88824	618863.2	10.54991	0.998385	0.999587	1.00041	1.00162	3.008881
1470	-424.675	-415.555	-9.11947	514439	11.61798	0.998228	0.999547	1.00045	1.00177	3.093778
1480	-439.192	-424.094	-15.0977	399879.7	6.499198	0.997991	0.999486	1.00051	1.00201	3.658381
1490	-443.365	-427.923	-15.4424	33060.64	7.726471	0.993018	0.998206	1.00178	1.007	3.828907
1500	-435.63	-424.284	-11.3463	568176.3	8.482096	0.998314	0.999569	1.00043	1.00169	3.350095
1510	-441.151	-423.632	-17.5191	942677.8	5.916193	0.998691	0.999665	1.00033	1.00131	3.923645
1520	-439.669	-420.854	-18.8149	83346.63	8.239869	0.995601	0.998872	1.00112	1.00441	4.244813
1530	-437.1	-420.541	-16.5594	50394.14	6.636093	0.994343	0.998548	1.00144	1.00567	3.902713
1540	-429.746	-418.642	-11.1038	802716.3	9.088348	0.998582	0.999637	1.00036	1.00142	3.33726
1550	-433.699	-423.36	-10.3397	654944.9	8.135838	0.99843	0.999598	1.0004	1.00157	3.208399
1560	-424.181	-418.185	-5.99537	974787.4	10.47008	0.998713	0.999671	1.00033	1.00129	2.828618
1570	-425.406	-416.326	-9.07983	634894.4	9.743572	0.998405	0.999592	1.00041	1.0016	3.127443
1580	-433.685	-419.587	-14.0976	346201.2	7.358377	0.997841	0.999447	1.00055	1.00216	3.628772
1590	-433.712	-413.648	-20.0635	823274.1	8.894906	0.998599	0.999642	1.00036	1.0014	4.341651
1600	-427.009	-417.695	-9.31368	243347.9	9.173381	0.997424	0.999341	1.00066	1.00258	3.142832
1610	-430.286	-419.849	-10.4375	33772.03	9.923856	0.993092	0.998225	1.00176	1.00693	3.264766
1620	-428.524	-412.577	-15.9471	798728.3	7.932659	0.998578	0.999636	1.00036	1.00142	3.897371
1630	-437.537	-416.64	-20.8969	579405.1	8.974708	0.998331	0.999573	1.00043	1.00167	4.426979
1640	-440.639	-419.555	-21.0836	428326.2	8.929635	0.998058	0.999503	1.0005	1.00194	4.452626
1650	-437.684	-421.437	-16.247	218409.2	9.32715	0.997281	0.999304	1.00069	1.00272	3.889887
1660	-450.73	-425.061	-25.6697	593906.9	5.779841	0.998351	0.999578	1.00042	1.00165	5.297965
1670	-451.642	-430.798	-20.8449	615641.8	7.63928	0.99838	0.999586	1.00041	1.00162	4.533061
1680	-433.751	-423.853	-9.89773	242591.9	9.441802	0.99742	0.99934	1.00066	1.00258	3.210458
1690	-441.727	-424.187	-17.5401	98999.66	7.844865	0.995963	0.998965	1.00103	1.00404	4.099471
1700	-434.242	-420.407	-13.8349	508911.8	8.437794	0.998219	0.999544	1.00045	1.00178	3.643184
1710	-433.96	-420.979	-12.981	257255.6	11.86775	0.997495	0.999359	1.00064	1.00251	3.408982
1720	-432.221	-418.467	-13.7535	589981.2	8.929647	0.998346	0.999577	1.00042	1.00166	3.631754
1730	-436.621	-422.738	-13.8828	168955.9	8.889312	0.996909	0.999208	1.00079	1.00309	3.646881
1740	-440.655	-424.003	-16.6525	514752.1	7.702543	0.998229	0.999547	1.00045	1.00177	3.985239
1750	-432.157	-419.703	-12.4541	215405.7	7.823981	0.997263	0.999299	1.0007	1.00274	3.449643
1760	-428.657	-422.071	-6.58673	295525.8	13.36964	0.997663	0.999402	1.0006	1.00234	2.819422
1770	-434.465	-417.446	-17.0195	505206.1	12.50674	0.998212	0.999543	1.00046	1.00179	3.685876
1780	-423.578	-417.49	-6.0876	540929.1	11.64896	0.998272	0.999558	1.00044	1.00173	2.832292
1790	-426.737	-419.115	-7.62221	74231.18	10.63195	0.995338	0.998805	1.00119	1.00467	2.983142
1800	-436.687	-416.622	-20.0643	636987.6	6.593895	0.998408	0.999593	1.00041	1.00159	4.428583
1810	-446.332	-426.193	-20.1391	545809	8.483498	0.99828	0.99956	1.00044	1.00172	4.386608
1820	-444.986	-425.715	-19.2715	919899.9	9.943685	0.998675	0.999661	1.00034	1.00133	4.152887
1830	-440.343	-423.638	-16.7058	398209.8	8.73409	0.997986	0.999485	1.00051	1.00202	3.971911
1840	-435.388	-420.055	-15.333	69068.46	7.67634	0.995168	0.998761	1.00123	1.00484	3.812981
1850	-442.039	-425.59	-16.4494	281451.7	8.418573	0.997605	0.999387	1.00061	1.0024	3.953577
1860	-430.62	-416.502	-14.1174	621044.6	9.069126	0.998388	0.999588	1.00041	1.00161	3.669347
1870	-437.889	-420.641	-17.2478	631098	9.424923	0.9984	0.999591	1.00041	1.0016	3.990153
1880	-436.598	-418.921	-17.6762	186532.2	8.431036	0.997058	0.999247	1.00075	1.00294	4.098747
1890	-448.823	-430.266	-18.5572	429891	9.209541	0.998062	0.999504	1.00049	1.00194	4.147496
1900	-423.646	-415.863	-7.78282	575007.5	9.92251	0.998324	0.999571	1.00043	1.00168	2.997246
1910	-433.818	-418.783	-15.0345	429005.9	7.539019	0.99806	0.999504	1.0005	1.00194	3.767467
1920	-434.1	-418.324	-15.7763	193732.6	10.86161	0.997114	0.999261	1.00074	1.00289	3.731491
